index;country_code;country_long;name_of_powerplant;latitude;longitude;primary_fuel;start date;owner of plant;capacity_in_MW;estimated_generation_gwh_2021;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031
17952;NOR;Norway;Fossheim;61,5801;6,4998;Hydro;;;9;37,58;37,58;41,338;45,4718;50,01898;55,020878;60,5229658;66,57526238;73,23278862;80,55606748;88,61167423;97,47284165
17953;NOR;Norway;Fossmark;60,5121;5,7255;Hydro;;;11;44,85;44,85;49,335;54,2685;59,69535;65,664885;72,2313735;79,45451085;87,39996194;96,13995813;105,7539539;116,3293493
17954;NOR;Norway;Fossum;59,2414;9,5607;Hydro;;;1;4,47;4,47;4,917;5,4087;5,94957;6,544527;7,1989797;7,91887767;8,710765437;9,581841981;10,54002618;11,5940288
17955;NOR;Norway;Framruste;61,941;7,8813;Hydro;;;85;346,7;346,7;381,37;419,507;461,4577;507,60347;558,363817;614,2001987;675,6202186;743,1822404;817,5004645;899,2505109
17956;NOR;Norway;Froystul;59,8467;8,4274;Hydro;;;50;208,22;208,22;229,042;251,9462;277,14082;304,854902;335,3403922;368,8744314;405,7618746;446,338062;490,9718682;540,069055
17957;NOR;Norway;Funna;63,4369;11,7341;Hydro;;;22;93,68;93,68;103,048;113,3528;124,68808;137,156888;150,8725768;165,9598345;182,5558179;200,8113997;220,8925397;242,9817937
17958;NOR;Norway;Funnefoss;60,1671;11,5293;Hydro;;;44;195,56;195,56;215,116;236,6276;260,29036;286,319396;314,9513356;346,4464692;381,0911161;419,2002277;461,1202505;507,2322755
17959;NOR;Norway;Furset;62,2828;6,8848;Hydro;;;5;15,77;15,77;17,347;19,0817;20,98987;23,088857;25,3977427;27,93751697;30,73126867;33,80439553;37,18483509;40,9033186
17960;NOR;Norway;Gamlebrofoss;59,6578;9,6515;Hydro;;;17;88,23;88,23;97,053;106,7583;117,43413;129,177543;142,0952973;156,304827;171,9353097;189,1288407;208,0417248;228,8458973
17961;NOR;Norway;Gandvik;70,0147;29,1153;Hydro;;;5;17,79;17,79;19,569;21,5259;23,67849;26,046339;28,6509729;31,51607019;34,66767721;38,13444493;41,94788942;46,14267837
17962;NOR;Norway;Gausbu;59,3674;7,8963;Hydro;;;9;40,26;40,26;44,286;48,7146;53,58606;58,944666;64,8391326;71,32304586;78,45535045;86,30088549;94,93097404;104,4240714
17963;NOR;Norway;Geithusfoss;59,929;9,9635;Hydro;;;15;76,24;76,24;83,864;92,2504;101,47544;111,622984;122,7852824;135,0638106;148,5701917;163,4272109;179,769932;197,7469252
17964;NOR;Norway;Giskemo;62,4772;6,8586;Hydro;;;5;17,79;17,79;19,569;21,5259;23,67849;26,046339;28,6509729;31,51607019;34,66767721;38,13444493;41,94788942;46,14267837
17965;NOR;Norway;Gjerdsvik;62,256;5,5839;Hydro;;;6;26;26;28,6;31,46;34,606;38,0666;41,87326;46,060586;50,6666446;55,73330906;61,30663997;67,43730396
